Sample ID,Protein (g),Vitamin A (mg),Vitamin C (mg),Calcium (mg),Potassium (mg),Iron (mg),Fiber (g),Calories (kcal)
MOR-1563,3.02,0.62,131.2,297.29,388.23,2.07,5.69,37.0
MOR-7637,5.33,0.2,77.04,341.88,393.66,0.52,4.21,56.0
MOR-9685,5.51,0.89,141.49,203.03,211.13,1.07,7.58,53.0
MOR-3681,8.41,0.75,120.61,323.54,313.97,2.96,5.29,35.0
MOR-2569,7.42,0.39,224.84,382.33,339.75,1.91,5.37,41.0
MOR-8192,3.89,0.78,69.05,317.74,396.25,1.22,5.76,54.0
MOR-5926,2.23,0.81,94.51,313.83,157.04,2.15,6.09,51.0
MOR-6955,4.76,0.16,219.47,297.37,168.58,2.78,7.81,65.0
MOR-4015,8.83,0.86,170.49,396.22,389.81,1.82,3.1,40.0
MOR-7595,3.07,0.73,222.9,364.29,210.24,1.1,2.61,30.0
MOR-1437,6.33,0.56,208.91,262.5,176.75,2.69,2.89,36.0
MOR-7733,7.42,0.38,103.86,222.2,237.23,0.66,7.84,33.0
MOR-5323,4.35,0.83,182.03,292.95,365.74,0.6,2.5,35.0
MOR-3940,4.38,0.4,203.06,397.95,177.89,1.97,2.47,52.0
MOR-1053,2.64,0.82,147.08,254.38,183.38,2.46,6.45,59.0
MOR-7337,2.27,0.78,235.64,263.69,233.95,0.85,2.55,37.0
MOR-3582,2.48,0.57,152.9,271.18,214.45,2.89,5.55,46.0
MOR-9412,6.68,0.24,183.77,216.12,307.59,0.9,5.49,51.0
MOR-1033,4.12,0.3,187.82,351.33,202.07,0.73,3.49,63.0
MOR-6101,4.36,0.2,241.52,302.62,222.91,1.23,6.45,69.0
MOR-1554,4.14,0.2,240.44,319.9,265.92,2.3,4.07,38.0
MOR-4164,3.43,0.26,196.82,210.74,333.22,2.31,6.72,34.0
MOR-8212,4.37,0.88,185.91,287.28,275.1,1.78,7.41,70.0
MOR-7183,6.06,0.19,189.79,272.81,336.12,2.9,4.83,65.0
MOR-6713,7.45,0.78,81.83,332.4,208.36,2.81,4.09,64.0
MOR-6440,4.2,0.15,245.39,275.31,348.45,1.56,3.28,45.0
MOR-5372,4.12,0.27,217.18,383.84,225.62,1.59,6.66,61.0
MOR-3320,2.01,0.41,155.71,358.13,395.07,2.74,2.21,44.0
MOR-9901,5.8,0.11,119.74,275.12,285.31,0.8,4.25,46.0
MOR-4263,3.38,0.34,233.45,394.73,225.86,2.95,4.95,34.0
MOR-9453,8.83,0.88,234.11,308.66,386.33,1.28,2.92,32.0
MOR-5020,7.52,0.81,157.24,352.37,241.98,1.62,2.78,39.0
MOR-4270,7.11,0.75,164.22,335.48,383.8,0.93,5.19,38.0
MOR-5670,3.13,0.14,60.51,321.63,304.93,2.82,6.53,67.0
MOR-2250,7.08,0.7,90.45,249.03,306.45,2.6,3.76,58.0
MOR-9904,2.8,0.26,216.9,267.17,192.23,0.58,3.71,39.0
MOR-7432,4.99,0.42,96.17,217.38,182.57,1.07,7.43,69.0
MOR-6708,4.88,0.63,92.96,258.18,309.61,1.54,2.93,67.0
MOR-2938,2.88,0.37,149.91,301.01,381.32,2.8,5.17,54.0
MOR-1287,7.93,0.57,140.52,250.67,249.14,1.43,4.55,39.0
MOR-6652,8.35,0.18,198.54,200.38,360.66,1.11,5.23,62.0
MOR-6278,4.98,0.38,111.15,308.33,219.04,2.04,2.21,49.0
MOR-9357,3.05,0.12,235.53,225.27,331.11,1.4,7.04,41.0
MOR-1851,2.77,0.57,121.04,231.02,380.5,2.84,2.5,54.0
MOR-6002,7.46,0.76,87.58,227.94,187.48,1.47,2.14,39.0
MOR-5748,7.35,0.17,146.02,343.98,352.04,2.28,3.41,30.0
MOR-8138,4.85,0.38,166.56,355.06,250.27,1.04,3.32,55.0
MOR-1962,2.36,0.37,216.57,388.94,182.66,2.75,3.08,46.0
MOR-4624,8.93,0.59,239.47,249.82,298.06,0.7,5.92,54.0
MOR-5390,6.65,0.15,186.75,351.97,209.71,2.99,3.99,70.0
MOR-4833,4.15,0.16,105.05,309.08,377.37,1.91,2.9,68.0
MOR-8520,8.59,0.17,172.18,293.98,240.53,1.17,6.05,41.0
MOR-2063,7.48,0.33,212.44,234.89,218.56,1.32,3.08,33.0
MOR-8714,3.46,0.64,82.59,228.66,338.27,1.78,7.6,44.0
MOR-3808,7.83,0.76,164.57,294.64,248.74,2.06,7.59,56.0
MOR-4655,4.18,0.43,93.55,244.92,205.08,0.88,5.54,55.0
MOR-3833,2.9,0.27,98.41,215.83,246.95,2.59,7.32,61.0
MOR-9984,8.59,0.18,216.83,278.4,226.08,0.67,7.02,34.0
MOR-4097,8.28,0.32,81.9,252.7,367.02,0.66,2.64,70.0
MOR-6921,8.03,0.49,206.24,245.23,298.5,2.34,6.79,44.0
MOR-3357,8.12,0.48,184.67,290.61,280.31,0.55,3.35,39.0
MOR-3156,8.87,0.66,167.28,304.79,311.42,1.92,6.99,40.0
MOR-1357,5.34,0.62,176.89,391.38,188.11,2.92,2.93,62.0
MOR-9388,5.22,0.15,57.22,288.98,358.06,2.52,5.26,30.0
MOR-7567,3.31,0.39,119.4,238.04,358.79,1.64,7.48,63.0
MOR-5599,2.88,0.77,148.26,223.11,279.86,1.42,6.22,66.0
MOR-7055,2.32,0.39,77.65,238.5,359.29,2.01,2.81,47.0
MOR-3821,6.78,0.83,171.41,392.47,397.22,0.61,5.76,38.0
MOR-5862,2.83,0.18,87.5,251.14,330.25,2.77,6.94,40.0
MOR-1031,8.01,0.3,125.02,348.83,195.7,1.94,4.24,39.0
MOR-4796,9.0,0.85,169.86,388.52,290.4,0.63,2.54,49.0
MOR-4764,5.46,0.61,203.22,212.74,341.83,2.5,2.91,33.0
MOR-3514,3.78,0.56,56.61,307.87,253.43,1.97,5.59,68.0
MOR-2540,4.78,0.12,59.11,391.52,368.14,0.69,5.3,51.0
MOR-7195,6.53,0.65,87.21,315.72,254.79,1.49,3.44,67.0
MOR-6940,8.79,0.41,127.13,356.79,348.6,2.01,3.77,52.0
MOR-6380,8.26,0.18,200.35,222.9,212.11,1.31,5.14,51.0
MOR-2009,6.01,0.86,118.59,302.09,312.99,2.34,3.74,32.0
MOR-9655,3.78,0.58,78.94,257.7,162.13,0.89,2.23,45.0
MOR-3742,2.44,0.13,188.15,382.15,225.41,1.17,4.97,48.0
MOR-8764,7.06,0.5,218.9,233.27,361.27,1.28,2.2,33.0
MOR-7205,3.55,0.12,139.11,348.13,255.43,2.47,6.44,66.0
MOR-8323,8.22,0.69,65.57,293.3,180.79,1.51,2.93,70.0
MOR-8092,6.03,0.47,95.73,292.2,242.24,0.88,4.54,40.0
MOR-1116,6.29,0.69,215.23,219.74,337.95,1.82,7.15,45.0
MOR-4520,4.43,0.52,103.44,230.3,153.71,1.38,3.61,40.0
MOR-1673,5.63,0.41,131.16,325.13,188.91,1.33,2.31,61.0
MOR-5323,3.11,0.74,92.11,328.58,168.15,0.85,7.12,47.0
MOR-5706,3.61,0.39,207.25,254.74,220.45,1.71,5.58,67.0
MOR-1806,2.83,0.84,190.15,264.24,196.65,2.14,7.97,39.0
MOR-7450,7.15,0.48,74.92,369.48,266.26,1.75,6.01,57.0
MOR-9042,7.2,0.72,128.78,366.85,309.08,2.39,2.61,32.0
MOR-2948,8.56,0.14,86.51,220.33,340.05,2.57,4.67,51.0
MOR-7978,6.57,0.7,241.71,200.42,308.15,1.45,5.7,46.0
MOR-9162,5.81,0.11,71.76,342.04,390.8,0.82,4.6,51.0
MOR-1521,8.7,0.43,163.28,214.87,296.51,1.63,3.93,70.0
MOR-7423,5.71,0.43,114.41,333.17,193.27,1.56,6.64,33.0
MOR-5271,8.76,0.8,142.85,375.93,314.09,2.81,7.34,52.0
MOR-3455,3.07,0.36,238.54,203.03,232.59,2.03,5.55,44.0
MOR-6287,6.59,0.77,162.61,352.67,257.29,2.72,7.66,55.0
MOR-9401,2.85,0.77,103.44,370.31,397.46,2.26,7.46,37.0
MOR-9045,7.18,0.29,189.11,374.96,212.38,1.63,2.38,38.0
MOR-2648,7.06,0.76,87.27,228.89,156.72,1.35,6.21,49.0
MOR-5182,4.71,0.46,76.42,285.52,245.33,0.89,5.12,67.0
MOR-2126,6.36,0.46,243.36,242.75,300.15,2.45,5.42,40.0
MOR-7489,3.79,0.48,157.45,367.94,358.78,0.86,7.02,68.0
MOR-2043,6.96,0.11,188.39,365.75,381.18,2.48,4.35,40.0
MOR-9877,4.94,0.21,81.65,319.79,348.81,2.19,4.0,56.0
MOR-1996,2.59,0.85,86.52,316.03,271.19,2.6,6.52,31.0
MOR-2751,3.2,0.63,149.23,308.92,165.21,0.95,6.86,47.0
MOR-1814,8.58,0.24,170.41,325.99,333.21,2.8,3.96,51.0
MOR-7084,3.24,0.28,185.56,234.26,184.64,2.7,2.93,31.0
MOR-4858,7.54,0.58,207.99,235.66,244.37,2.05,7.58,40.0
MOR-9432,6.96,0.3,187.51,382.69,345.73,2.15,7.79,38.0
MOR-1587,5.29,0.68,237.17,217.16,391.45,1.61,3.98,44.0
MOR-4768,2.2,0.79,75.41,255.6,251.63,2.23,4.21,45.0
MOR-8533,2.63,0.41,145.09,233.51,353.12,1.27,6.75,34.0
MOR-5536,5.58,0.89,160.86,379.55,307.24,0.77,6.74,61.0
MOR-2123,5.77,0.19,206.8,356.09,378.77,2.85,7.93,30.0
MOR-9985,8.39,0.8,121.02,363.5,370.39,1.65,4.15,56.0
MOR-8313,7.06,0.67,187.28,366.79,223.96,2.31,4.71,60.0
MOR-9330,6.76,0.53,89.63,377.17,209.81,2.99,3.8,31.0
MOR-6682,3.41,0.64,245.39,365.27,253.61,2.75,2.92,40.0
MOR-9373,8.15,0.8,93.39,265.01,278.08,2.16,7.07,58.0
MOR-6795,3.82,0.43,164.3,266.94,372.96,1.51,6.07,69.0
MOR-6124,2.9,0.3,143.07,354.86,200.95,0.92,7.62,36.0
MOR-9365,6.89,0.57,225.68,205.2,247.0,0.55,6.66,42.0
MOR-3009,3.5,0.34,178.79,390.04,386.01,2.51,5.24,69.0
MOR-7060,6.22,0.35,72.52,206.73,252.17,2.76,4.87,42.0
MOR-2371,2.16,0.41,118.59,373.09,289.14,2.94,3.66,60.0
MOR-9803,6.39,0.66,117.3,328.02,267.33,1.49,3.13,56.0
MOR-5803,2.2,0.13,61.2,341.42,365.87,1.81,5.94,58.0
MOR-7794,6.2,0.73,179.77,273.45,169.57,1.9,5.5,60.0
MOR-8263,5.74,0.29,146.19,265.04,395.51,2.17,2.51,46.0
MOR-5105,6.23,0.12,109.71,273.04,211.74,2.03,5.47,59.0
MOR-1793,8.61,0.81,171.25,369.94,205.51,2.68,7.91,43.0
MOR-6620,8.78,0.42,220.78,226.45,198.11,2.49,5.52,33.0
MOR-2679,6.36,0.79,100.4,298.48,166.74,1.2,6.6,55.0
MOR-9293,5.86,0.67,110.24,248.3,281.16,1.89,3.42,61.0
MOR-4854,6.82,0.74,181.49,262.6,284.06,1.45,6.82,36.0
MOR-4489,4.65,0.62,120.08,289.4,182.81,2.15,7.53,50.0
MOR-2992,2.68,0.59,110.55,216.04,273.0,2.56,6.8,58.0
MOR-8244,5.33,0.25,226.41,377.88,205.66,2.17,4.04,44.0
MOR-6743,8.19,0.18,104.67,210.36,367.9,2.15,7.78,51.0
MOR-1157,3.07,0.37,78.5,244.06,342.88,0.59,5.74,36.0
MOR-4605,7.88,0.7,64.46,383.84,381.81,0.72,3.97,42.0
MOR-3689,5.43,0.73,84.2,304.6,222.12,2.16,5.55,44.0
MOR-6547,5.63,0.52,169.13,397.95,393.43,2.15,6.06,35.0
MOR-7237,4.68,0.46,209.48,233.15,264.22,2.23,5.58,38.0
MOR-5892,2.35,0.47,214.72,310.33,206.64,2.1,6.93,57.0
MOR-2797,7.99,0.47,106.26,211.77,392.14,1.78,4.88,31.0
MOR-9222,8.3,0.61,68.67,276.49,367.41,0.76,2.15,51.0
MOR-3607,8.32,0.26,60.76,340.94,177.85,2.19,2.74,68.0
MOR-9521,2.37,0.86,213.68,286.16,225.31,1.11,7.13,39.0
MOR-6206,3.64,0.51,55.29,290.85,218.34,1.93,3.24,31.0
MOR-6004,2.0,0.27,218.8,277.35,369.58,2.72,6.47,50.0
MOR-1674,6.9,0.2,123.78,210.64,226.67,1.46,5.78,47.0
MOR-5962,6.7,0.31,83.19,235.81,288.18,2.49,6.36,61.0
MOR-3688,8.41,0.74,162.65,287.2,314.21,2.56,3.98,53.0
MOR-8201,4.31,0.19,220.11,211.68,323.72,2.94,6.69,67.0
MOR-3917,6.2,0.46,118.59,397.35,279.06,1.5,3.22,43.0
MOR-2369,5.25,0.68,246.67,206.99,376.62,1.38,7.84,68.0
MOR-2165,7.46,0.84,173.58,215.36,369.93,1.82,7.07,36.0
MOR-6740,6.44,0.4,120.29,278.36,246.28,2.83,5.78,45.0
MOR-4499,3.71,0.13,114.4,295.36,341.79,2.58,2.63,50.0
MOR-4671,3.18,0.75,87.69,260.77,342.53,2.2,7.26,61.0
MOR-2440,3.86,0.48,124.94,381.84,352.96,0.66,2.63,65.0
MOR-7356,7.84,0.54,135.11,388.06,291.26,1.77,4.64,45.0
MOR-5119,2.19,0.89,114.07,249.33,283.55,2.98,7.65,51.0
MOR-4157,8.83,0.38,84.3,248.95,374.41,1.26,3.22,53.0
MOR-7660,6.96,0.5,124.78,243.57,313.51,1.08,7.26,40.0
MOR-2562,3.24,0.86,52.04,357.93,362.74,0.52,4.24,61.0
MOR-9782,4.31,0.48,96.88,374.56,280.06,2.36,7.94,35.0
MOR-4660,6.45,0.24,197.6,366.53,395.88,0.71,5.71,52.0
MOR-7454,4.22,0.55,205.28,210.05,322.62,0.82,5.33,37.0
MOR-3400,4.71,0.59,208.88,254.96,367.54,0.84,2.47,56.0
MOR-5832,5.96,0.67,70.95,278.5,289.49,2.12,6.13,52.0
MOR-9677,4.35,0.85,184.37,296.56,175.93,2.21,5.25,50.0
MOR-1285,6.71,0.21,200.17,283.56,354.49,2.28,2.85,57.0
MOR-8548,7.76,0.18,201.06,228.61,367.54,0.9,2.3,30.0
MOR-4663,6.86,0.58,154.54,238.31,378.02,2.88,3.78,35.0
MOR-2255,7.2,0.78,144.03,286.48,260.45,2.77,6.76,47.0
MOR-1896,3.58,0.54,114.36,321.2,393.47,2.94,5.52,50.0
MOR-2204,4.5,0.3,95.49,242.21,366.67,0.56,7.43,59.0
MOR-4527,5.76,0.49,172.67,211.22,234.26,2.39,7.64,36.0
MOR-8584,3.4,0.11,154.55,353.88,171.04,2.98,2.75,53.0
MOR-1122,7.18,0.35,130.15,334.4,213.27,2.89,2.1,67.0
MOR-7570,8.5,0.75,167.11,250.4,249.76,0.57,7.75,53.0
MOR-5602,3.39,0.81,217.06,204.11,221.22,2.3,2.37,53.0
MOR-8402,7.25,0.62,145.33,385.77,182.92,2.84,7.66,40.0
MOR-5595,4.9,0.83,151.46,263.88,366.7,0.52,3.62,56.0
MOR-8588,8.03,0.37,82.48,232.33,393.87,0.92,3.29,54.0
MOR-7927,3.95,0.56,188.16,224.87,339.47,2.28,4.31,43.0
MOR-1488,5.83,0.65,81.82,314.78,273.65,1.75,2.87,63.0
MOR-9261,3.38,0.88,67.18,218.47,221.45,0.98,4.32,53.0
MOR-6585,5.88,0.76,142.88,262.29,183.79,1.53,7.8,70.0
MOR-2173,4.71,0.48,67.72,313.14,381.29,1.44,7.14,39.0
MOR-4349,7.82,0.79,224.89,321.39,385.23,0.63,5.41,49.0
MOR-8517,2.83,0.38,161.54,328.43,214.14,1.72,4.48,30.0
MOR-1257,7.17,0.88,249.37,365.32,289.22,2.77,4.8,64.0
MOR-8479,8.64,0.32,113.94,261.6,307.45,1.15,2.32,49.0
MOR-1994,4.16,0.3,144.0,287.9,367.65,0.58,2.44,34.0
MOR-4100,4.59,0.13,189.25,354.09,353.03,0.76,6.13,67.0
MOR-1575,8.71,0.83,208.69,304.44,350.24,1.2,5.76,63.0
MOR-9142,8.37,0.86,135.07,392.03,171.09,2.8,5.65,32.0
MOR-7634,6.14,0.52,157.72,216.05,171.01,1.07,2.06,54.0
MOR-3151,7.95,0.4,175.78,324.59,328.5,1.46,2.97,36.0
MOR-6937,4.12,0.28,149.38,332.6,355.73,0.54,3.95,65.0
MOR-9523,4.4,0.55,109.11,230.93,243.21,1.73,2.53,67.0
MOR-2221,7.13,0.5,112.98,383.75,158.29,1.07,6.67,33.0
MOR-1496,6.93,0.24,242.43,203.93,255.82,0.85,4.76,43.0
MOR-4150,2.63,0.13,207.01,254.67,350.61,0.73,6.08,46.0
MOR-8093,6.67,0.6,165.49,318.82,392.55,1.26,6.17,51.0
MOR-5915,5.7,0.23,235.32,318.82,224.9,1.68,4.13,35.0
MOR-3343,6.74,0.28,86.28,259.0,335.84,2.29,3.04,39.0
MOR-7185,4.29,0.5,104.44,367.36,266.75,1.18,7.73,66.0
MOR-7732,2.86,0.39,239.95,347.33,220.07,2.89,4.79,40.0
MOR-6733,5.37,0.9,188.19,331.21,191.77,2.38,4.84,66.0
MOR-5778,5.3,0.49,115.54,295.95,349.89,2.67,3.75,58.0
MOR-3098,6.62,0.63,124.76,296.39,152.12,2.62,6.58,62.0
MOR-1864,2.76,0.11,93.98,252.91,172.77,1.63,7.13,69.0
MOR-3494,6.32,0.23,78.36,284.22,314.89,2.84,7.46,41.0
MOR-4814,8.2,0.22,57.18,281.89,245.27,2.6,5.56,38.0
MOR-6329,4.53,0.38,71.13,304.87,342.98,0.87,3.84,46.0
MOR-9428,3.54,0.41,115.66,336.31,390.42,2.7,7.29,52.0
MOR-7947,5.96,0.13,168.4,322.11,239.56,2.81,4.54,39.0
MOR-2523,8.13,0.58,245.88,216.6,174.61,2.75,2.05,42.0
MOR-3836,2.23,0.52,232.78,308.09,319.75,0.96,2.03,45.0
MOR-8926,2.03,0.87,164.77,217.69,367.09,2.72,4.94,51.0
MOR-6882,7.15,0.44,234.79,347.16,305.01,2.87,5.76,44.0
MOR-4653,2.34,0.61,128.74,276.66,321.54,0.69,2.82,33.0
MOR-9309,8.71,0.88,78.9,294.06,320.37,1.96,2.14,35.0
MOR-6165,2.18,0.41,129.44,208.6,296.32,1.37,3.87,56.0
MOR-2902,2.07,0.32,125.39,245.21,342.48,0.74,4.59,66.0
MOR-3472,4.26,0.57,155.87,218.62,324.34,1.39,4.16,45.0
MOR-4463,3.82,0.3,68.4,280.81,248.51,0.71,3.56,50.0
MOR-1230,8.04,0.78,138.25,298.1,262.48,2.79,6.63,37.0
MOR-4080,7.34,0.52,137.97,291.12,310.01,1.67,3.34,49.0
MOR-4526,5.53,0.81,55.75,314.13,247.99,2.59,3.66,45.0
MOR-2332,3.03,0.63,131.59,230.11,191.98,2.7,5.64,41.0
MOR-2211,2.51,0.6,182.08,322.33,362.59,2.97,4.07,34.0
MOR-2719,4.08,0.15,98.94,367.66,161.72,1.34,5.99,52.0
MOR-8718,2.34,0.61,170.49,348.89,385.84,1.54,6.28,35.0
MOR-7185,2.33,0.3,85.24,299.43,319.0,2.93,3.23,35.0
MOR-7153,4.49,0.84,148.92,317.7,245.79,1.79,5.61,38.0
MOR-6274,2.54,0.21,209.47,360.88,275.73,2.83,3.41,35.0
MOR-3705,7.92,0.85,72.77,236.0,349.52,1.6,4.4,47.0
MOR-4525,5.52,0.34,200.6,235.68,217.06,2.98,7.49,45.0
MOR-9213,3.85,0.34,169.44,369.55,239.31,2.17,7.3,58.0
MOR-8888,6.47,0.16,73.19,212.27,151.46,2.77,5.82,35.0
MOR-5646,2.71,0.75,219.44,308.52,255.52,2.89,6.09,45.0
MOR-8390,7.13,0.73,238.43,325.41,363.96,1.57,2.28,55.0
MOR-2953,7.48,0.53,187.55,220.13,291.99,0.74,5.47,53.0
MOR-6657,4.77,0.86,109.08,353.33,249.67,1.8,4.74,56.0
MOR-5281,8.3,0.25,111.26,300.35,292.22,1.4,6.92,40.0
MOR-7727,6.68,0.16,108.4,258.44,338.61,2.12,3.88,55.0
MOR-4340,5.44,0.82,54.9,363.74,348.47,2.05,7.12,64.0
MOR-5961,4.26,0.22,171.23,364.4,228.46,1.51,6.43,58.0
MOR-1203,4.58,0.44,108.3,329.4,228.45,1.99,3.52,66.0
MOR-9859,4.21,0.23,152.59,204.73,375.09,2.85,6.12,62.0
MOR-6421,8.32,0.13,61.16,201.76,310.07,1.6,7.54,67.0
MOR-5701,6.54,0.2,153.08,357.08,378.52,0.84,2.99,52.0
MOR-9197,7.95,0.44,87.74,351.26,177.17,1.94,2.64,60.0
MOR-8579,4.69,0.23,246.05,216.15,272.69,1.37,5.48,51.0
MOR-7424,8.44,0.76,216.55,273.87,153.41,2.59,6.22,30.0
MOR-4861,4.1,0.69,76.57,271.7,309.48,0.57,2.14,44.0
MOR-4057,2.87,0.52,82.8,313.67,323.47,2.9,5.8,53.0
MOR-5614,7.38,0.62,76.25,224.65,286.77,2.51,3.4,64.0
MOR-1307,5.15,0.85,225.05,307.42,388.62,1.5,7.63,39.0
MOR-3916,3.55,0.23,220.31,290.34,255.75,1.88,6.02,52.0
MOR-7658,4.99,0.24,243.77,331.38,246.8,2.98,3.24,52.0
MOR-9837,5.05,0.74,185.32,359.68,256.47,2.97,7.93,65.0
MOR-6510,2.99,0.66,82.97,314.61,212.26,0.61,3.28,37.0
MOR-6228,8.05,0.67,120.72,210.39,168.8,2.52,6.55,51.0
MOR-5063,5.6,0.47,60.8,221.95,277.63,1.83,4.21,44.0
MOR-4809,7.2,0.62,220.02,394.57,226.83,0.69,7.43,48.0
MOR-8033,8.6,0.28,114.85,284.48,192.44,0.82,5.76,32.0
MOR-7841,7.92,0.6,207.83,353.84,234.76,0.54,6.65,68.0
MOR-2046,2.99,0.86,89.96,358.79,247.23,2.11,6.91,53.0
MOR-6162,3.28,0.62,217.45,297.7,334.27,1.88,7.42,63.0
MOR-6285,6.2,0.89,222.79,237.18,366.18,0.54,4.67,46.0
MOR-9948,6.4,0.87,107.34,339.92,328.32,2.03,2.81,39.0
MOR-5427,3.94,0.49,64.97,241.5,225.42,2.02,7.76,58.0
MOR-3286,3.9,0.1,118.39,386.53,285.27,2.85,6.13,37.0
MOR-5127,5.22,0.89,143.46,378.91,189.01,2.46,4.66,47.0
MOR-6263,7.24,0.52,94.19,238.64,343.58,1.41,6.3,62.0
MOR-3197,8.23,0.47,230.5,204.22,318.74,2.76,2.22,46.0
MOR-5541,6.43,0.69,191.3,318.46,218.04,1.74,4.51,52.0
MOR-5584,2.14,0.32,175.93,321.8,178.63,0.64,3.76,56.0
MOR-4543,8.63,0.43,194.9,235.04,356.2,2.06,3.26,70.0
MOR-6740,3.01,0.41,122.51,234.2,388.24,2.8,4.6,54.0
MOR-2333,3.26,0.71,216.09,390.93,161.45,0.86,2.66,41.0
MOR-5082,8.56,0.7,103.63,384.77,345.07,2.47,4.03,64.0
MOR-6540,4.92,0.33,182.71,243.94,370.59,2.57,6.27,70.0
MOR-7538,6.75,0.79,206.75,290.78,216.55,1.57,5.95,46.0
MOR-1970,7.5,0.27,111.39,326.16,200.24,2.44,6.31,48.0
MOR-5098,8.95,0.81,55.0,259.5,372.38,0.5,5.41,63.0
MOR-2719,6.99,0.51,196.39,343.29,248.29,1.5,4.11,56.0
MOR-3070,4.46,0.75,141.25,263.3,187.18,1.84,2.46,41.0
MOR-1648,5.15,0.47,138.73,263.25,217.68,1.18,4.74,62.0
MOR-2680,7.41,0.46,154.67,219.22,219.14,2.53,6.66,35.0
MOR-3079,2.13,0.81,175.21,327.25,323.08,1.31,6.24,45.0
MOR-6184,4.07,0.58,143.43,201.23,296.72,1.66,3.82,59.0
MOR-3056,2.02,0.74,191.28,359.05,375.41,2.38,2.46,59.0
MOR-2677,8.76,0.32,110.2,351.05,152.45,1.48,4.43,45.0
MOR-4202,2.55,0.39,54.56,285.34,151.0,0.74,6.47,38.0
MOR-1020,7.62,0.69,96.34,357.87,353.04,0.65,6.23,65.0
MOR-1554,4.74,0.67,109.62,372.16,341.93,2.59,6.12,54.0
MOR-6141,5.3,0.37,185.62,340.56,370.29,2.43,4.19,68.0
MOR-3705,6.67,0.17,211.09,271.41,179.63,1.48,2.3,48.0
MOR-1374,7.48,0.33,125.98,359.88,317.38,0.7,4.29,33.0
MOR-3482,6.64,0.74,131.05,304.58,219.83,1.76,4.26,60.0
MOR-4872,7.57,0.14,132.75,355.24,264.96,1.4,7.27,68.0
MOR-9424,4.83,0.38,211.35,209.64,244.22,2.42,6.12,51.0
MOR-9032,4.4,0.82,126.27,221.44,343.87,2.23,5.71,49.0
MOR-9587,3.66,0.8,92.54,319.75,256.45,2.76,6.19,35.0
MOR-2271,8.09,0.87,193.34,214.78,252.79,1.07,4.44,46.0
MOR-9580,7.84,0.79,74.78,344.94,189.49,0.93,6.16,61.0
MOR-3848,3.03,0.49,77.41,325.27,198.74,0.55,5.84,33.0
MOR-7844,4.16,0.33,187.62,239.36,235.11,1.85,4.04,58.0
MOR-2775,3.63,0.5,153.62,273.22,301.12,0.86,6.35,62.0
MOR-8000,7.19,0.38,107.47,316.98,339.78,2.92,5.8,67.0
MOR-1406,2.03,0.73,72.42,322.57,171.86,0.65,5.61,33.0
MOR-8013,8.82,0.26,152.13,246.46,195.9,0.6,7.04,63.0
MOR-2608,4.45,0.66,127.34,253.28,192.52,0.92,3.24,34.0
MOR-9951,6.14,0.28,158.98,372.51,282.58,2.29,3.67,47.0
MOR-8057,6.05,0.14,51.14,224.17,282.33,0.69,2.63,61.0
MOR-3329,2.89,0.41,66.81,308.41,192.27,1.32,6.78,60.0
MOR-2171,3.06,0.68,114.71,275.67,196.5,1.97,6.33,40.0
MOR-4777,7.08,0.62,153.8,200.23,365.74,1.97,6.87,53.0
MOR-9735,8.63,0.88,142.51,223.28,372.1,1.67,2.04,61.0
MOR-8299,7.54,0.4,104.81,206.61,191.7,2.86,3.12,35.0
MOR-7251,7.88,0.31,52.03,340.66,301.23,2.17,5.24,37.0
MOR-2320,6.88,0.71,106.49,396.87,345.71,1.84,5.73,55.0
MOR-2716,4.35,0.42,141.61,343.12,317.65,0.69,5.69,69.0
MOR-9920,4.61,0.64,55.94,288.24,297.56,2.76,6.43,51.0
MOR-7870,6.36,0.32,209.0,378.28,210.65,1.22,2.8,44.0
MOR-7192,6.46,0.56,134.22,284.28,278.36,1.83,5.36,31.0
MOR-5250,6.81,0.52,212.37,287.11,387.58,1.39,6.89,57.0
MOR-5855,4.95,0.88,188.26,389.86,365.42,2.68,5.33,48.0
MOR-1730,2.41,0.43,177.14,290.12,150.04,2.36,5.26,35.0
MOR-9974,6.72,0.42,109.42,200.52,290.37,1.26,6.63,34.0
MOR-2550,2.16,0.43,244.1,343.19,341.7,1.37,4.41,38.0
MOR-5562,6.02,0.79,96.23,282.48,214.92,2.07,4.04,70.0
MOR-1673,7.71,0.61,151.42,315.57,229.72,2.7,3.67,43.0
MOR-2184,6.66,0.67,158.67,360.7,319.72,1.49,5.68,68.0
MOR-7593,7.76,0.82,247.16,231.6,196.17,1.44,6.16,51.0
MOR-5212,3.82,0.86,219.24,212.12,286.7,0.53,4.22,32.0
MOR-1751,4.79,0.56,176.68,278.93,385.32,0.69,3.72,41.0
MOR-7219,5.3,0.85,74.14,277.63,319.17,0.82,3.89,56.0
MOR-4741,7.76,0.57,97.64,272.05,293.55,1.22,5.51,36.0
MOR-6776,2.55,0.64,54.7,380.36,189.57,1.85,5.75,37.0
MOR-8840,6.13,0.56,62.63,326.27,244.83,2.02,3.6,52.0
MOR-3723,3.16,0.43,164.4,211.53,164.8,0.93,2.81,32.0
MOR-5125,6.89,0.49,193.78,274.55,156.1,0.61,4.97,54.0
MOR-1373,7.93,0.24,206.88,260.09,355.84,2.42,7.31,39.0
MOR-9237,6.06,0.64,182.35,264.42,210.67,1.15,4.27,39.0
